64,0.0136834, NaN, NaN, NaN,
128,0.0276670, NaN, NaN, NaN,16.176935229067900
256,0.0549860, NaN, NaN, NaN,16.176935229067900
512,0.110457, NaN, NaN, NaN,16.176935229067900
1024,0.218854, NaN, NaN, NaN,16.176935229067900
2048,0.4649, NaN, NaN, NaN,16.176935229067900
4096,0.87320,0.102137,0.102253,1.316984990233010,16.176935229067900
8192,1.73839,0.178222,0.178548,0.001180978195751,16.176935229067900
16384,3.4183,0.333216,0.323863,3.88319757111215E-05,17.0134994807892
32768,6.824,0.646229,0.616809,4.81555903222987E-06,17.16141196187280
65536,13.634,1.2703,1.20977,3.64155617910461E-07,17.23633685760880
131072,27.07,2.51753,2.13397,6.78970842304148E-09,19.539654144305300
262144,54.95,5.00562,4.04868,2.0462048018882E-09,20.610749441771300